,content
1391,"A PEARLER! Quite casual there from Brook! Akash hits the deck hard, and keeps it just outside off. Gets a good bit of bounce as the ball nips in a touch. Harry Brook stays back and lazily pokes at it, playing away from his body, and is beaten past the outside edge."
1392,"On off, blocked off the back foot."
1404,1 run.
1424,"Good-length delivery around off, Root walks across and clips it away through mid-wicket for one."
1426,"On a hard length and over middle, Brook fails to get it away on the leg side."
1427,"Brook trying to put some pressure back onto the bowler. Hard length outside off, Brook advances but has to adjust and jams it down towards gully."
1436,"Hits the deck hard and bowls it over middle, Crawley gets half a stride forward and nudges it across to the leg side."
1440,"Inside edge! The in-between length on off and middle, slanting in, Zak Crawley plays around it a bit and gets a faint inside edge onto the pads."
1442,"Down the wrong line, around leg, Root tucks the ball down to long leg and turns the strike over."
1451,"Length ball around off, Zak Crawley stands fairly outside his crease and solidly blocks it off."
1452,"Good-length delivery, slanting in from middle, Crawley taps it across to mid-wicket."
1454,"Pitches it up on off stump, trying to shape it away, Crawley defends it right under the eyes."
1455,"No hat-trick but a double-wicket maiden from Akash Deep. Nagging length in and around off, trying to nip it away. Joe Root leans on and watchfully blocks it into the off side."
1456,"OUT! EDGED AND GONE! Wow, what a delivery from Akash Deep and Ollie Pope departs on the very first ball. Akash comes back to over the wicket for the right-hander and serves the ball right up on the off stump, forcing the batter to play at it. Pope makes the mistake of playing across the line and the ball just nips away off the deck and squares him up. The outside edge is found yet again and the ball goes quickly towards second slip. KL Rahul reacts well to his right but fails to pouch it on the first attempt. KL manages to keep his composure and snaffles it on the second attempt. England have been rocked early, 13 for 2 now as the other centurion from the previous match, Ollie Pope, departs for a golden duck.<br><b>Ollie Pope c K Rahul b A Deep 0 (1b 0x4 0x6)</b>"
1457,"OUT! CAUGHT! Back onto the field and straight into the thick of things, is Shubman Gill and what a catch that is! Fine delivery from Akash Deep as he holds the length around the top of the stumps and bowls it in the corridor of uncertainty, gets this one to nip off the deck as well. Ben Duckett hangs back and looks to push at it but the away movement means the outside edge is found and it goes wide of third slip where Gill springs down to his left and takes a stunning catch with both hands. The centurion from the last match departs for a duck and England are 13/1!<br><b>Ben Duckett c S Gill b A Deep 0 (5b 0x4 0x6)</b>"
1460,"Pitched-up delivery, in and around off, Ben Duckett defends it on the front foot."
1465,"Hard length over middle, looking to slant the ball in, Crawley taps it around the corner on the leg side."
1466,"Good-length delivery, just outside off and swinging away, Crawley plays it late and with the swing to the left of Ravindra Jadeja. Jadeja makes a sharp stop."
1467,"No ball! A hint of swing away from the right-hander. Pitched up in the channel and nibbling away, Zak Crawley stays put and watchfully defends towards gully. Siraj oversteps and a No Ball is called."
1468,Akash immediately goes around the wicket to the left-hander and hones in on the off stump line. Ben Duckett watchfully defends.
1471,"No ball! Better line now, on off and middle and Crawley blocks it off. However, Akash has overstepped and it will be a No Ball."
1473,"FOUR! A gorgeous stroke to get going from Zak Crawley. Pitches up around off, looking for some swing but the ball slides right on. Crawley leans on and plays it straight back past the bowler for a boundary to get off the mark."
1475,"OUT! STUMPED! Smartly done by Shoaib Bashir and India's long first innings comes to an end! Mohammed Siraj is early to step out of his crease and Bashir sees him coming. Bashir brings out the carrom ball and bowls it into the pitch, darting it down leg. Siraj ends up walking past the ball and Jamie Smith has all the time in the world to dislodge the bails. Siraj falls for 8 (23) as Bashir gets 3 wickets and India end with 587 runs on the board.<br><b>Mohammed Siraj st J Smith b S Bashir 8 (23b 1x4 0x6)</b>"
1476,"Gives it a bit more air and throws it on middle, Prasidh Krishna has a swing at it but gets it off the inside edge towards backward square leg and picks up a single."
1477,"Floated up on the stumps, Krishna blocks it off."
1478,"Half an appeal for LBW but nothing doing says the umpire. Flighted, but on a dragged length and drifted into the batter. Prasidh Krishna looks to defend but is beaten on the inside edge and gets hit on the pads."
1480,"Bashir persists with the wide line, flighting it up outside off, Siraj lunges across and defends off the inside edge."
1482,"Length, around middle and leg, blocked off the back foot to the leg side."
1483,"Good-length delivery, angling on the leg stump, Prasidh Krishna taps it to the leg side. Gets a word of appreciation from Siraj."
1485,"Nagging length, on middle, Krishna opens up and knocks it to the right of the bowler."
1487,"Flatter and quicker, on off, Mohammed Siraj is solid in defence."
1490,"BEATEN! Flat and quick, just around off, goes straight on with some bounce. Prasidh Krishna draws out his front foot to block, but is beaten on the outside edge."
1495,Nipping back in on top of middle. Mohammed Siraj hops on the crease and taps it to the right of the bowler.
1502,"Flighted delivery on off, Siraj with a forward defence again."
1509,"Arrowed wayward, way down the leg side, Krishna leaves, and a good diving stop by Jamie Smith to his left."
1512,"Tossed up on off and turning in, Siraj watchfully nudges it away to the leg side."
1514,"Flighted up, quite slow and outside off, Prasidh Krishna waits back well and dabs it past first slip for a single."
1525,BEATEN! Bashir lands this on a fullish length and gets some grip and bounce into the batter. Akash Deep is flummoxed by that and finds himself in an awkward position. Gets beaten on the outside edge.
1532,"A bumper going down leg, Akash Deep ducks under it."
1535,No run.
1545,"Same line, same length, blocked off by Gill."
1547,"On off, spinning in, Shubman Gill goes back and across to knock it to the off side."
1549,"Stays around the wicket and bowls a bumper, just around leg and Akash Deep manages to get out of the way. Excellent take from Jamie Smith to his left. Root does seem fired up."
1550,"OUT! TIMBER! What a delivery and that's come out of nowhere! Joe Root continues from around the stumps to the left-hander and gives it a real rip, tossing it up around middle. The ball seems to drift in and Washington Sundar just looks to defend down the line but the ball lands and turns sharply away from the left-hander, leaving Sundar baffled and goes on to crash into the stumps. Root is absolutely pumped as Sundar departs for a gritty 42 (103), ending a stand of 144 runs for the 7th wicket.<br><b>Washington Sundar b J Root 42 (103b 3x4 1x6)</b>"
1554,"Flighted ball, drifting into the legs, Sundar leans forward and wrists it past square leg for another easy single."
1556,"Nagging length, wide of the off stump, looking for some turn which isn't there. Gill puts a stride across and leaves."
1559,"Wide! Lobbed up again, this time it's even wider and Gill doesn't play at it. The umpire does signal a wide now."
1560,"Tossed up, wide outside off, flirting with the tramline. Gill leaves it alone but no wide is called."
1562,"A lot more round arm from Root, trying to sling it in towards off stump and this one stays low. Sundar manages to block it off."
1563,"Slightly flighted on off, angling it in, Sundar leans on defends down the line."
1565,"On the pads, turned away in front of square leg and into the deep for a single."
1568,"A bit flatter and around middle, tapped across through the mid-wicket region for another single by Sundar."
1570,"Floated up, from around the stumps now and around off, Gill leans on to defend."
1572,"Flights this one up outside off, Gill lunges across and defends it more off the inside edge towards the leg side."
1584,"Tossed up, on off, defended straight back by Gill."
1586,"EDGED AND FOUR! Shubman Gill won't mind that and he brings up a stellar 250, even surpassing the great Sachin Tendulkar's highest score of 248 and goes 9th on the list of top scores by an Indian batter in Test matches. Nagging length and around off, Gill pokes at it and just a hint of away movement is enough to induce the outside edge and the ball rolls away into the deep third fence."
1591,"Length, around off, blocked off by Sundar."
1592,Length ball just around off. Gill clips it towards mid-wicket for a single.
1595,"Drifts it into the batter, on middle, Washington Sundar gets across and nudges it to the left of square leg for a single."
1598,Length and at the pads. Sundar steers it towards backward square leg for a single.
1600,"Length, on off, pushed straight back."
1603,Sundar tucks this length ball into the square leg region for a single.
1606,"This stays a tad low on the bounce. Lands around off, and spins in. Shubman Gill negotiates well to block it off the back foot."
1611,"Into the line of the stumps, Washington Sundar blocks off."
1612,"'Round the stumps, length ball, outside of, Sundar goes inside the crease and dabs it to the left of the keeper."
1619,"A half-tracker, on the stumps, Gill tucks it to mid-wicket."
1627,"A steep bumper from Carse, at 131 kph, over off, Washington Sundar drops his wrists and bat down and arches back to leave. A wry smile from Carse to the batter."
1628,"Length, angling into the body. Sundar blocks it off the back foot."
1629,"Bashes the hard length again, does Carse, on middle, Washington Sundar gets right behind it and knocks it back to the bowler."
1636,"FOUR! Too wide and put away by Gill! Length ball, well outside off, Shubman Gill waits well and reaches out before tapping it wide enough of deep third to pick up a boundary."
1645,"FOUR! Quicker one, pushed across off stump from around the wicket, Gill stays back and reaches out before angling the bat and guiding it down wide of first slip and into the deep third fence."
1648,"Flatter delivery around off, Shubman strides across and blocks it off."
1650,"Flighted up on the pads, nudged away around the corner on the leg side for a single."
1651,Down the leg side once again and left alone by Sundar. Tongue might have bowled one too many overs bending his back on every delivery and probably needs a rest.
1653,"Another bumper, trying to attack the bodyline but gets it a bit too leg side and Sundar just moves out of the way."
1654,"A sharp bumper, banged in over middle and leg and angling away, Sundar awkwardly sways away from the line of the ball."
1661,"Just drags the length back a few inches and drops it onto middle, Sundar staysback and defends it out."
1670,"Nagging length, pushed through at the stumps, Sundar watchfully defends."
1671,"Tossed up around off, turning away, Sundar makes a leave."
1673,"Flatter one at the stumps, blocked off."
1681,"Bowled flatter and on off, Sundar leans on to defend."
1684,"Flighted up and around off, defended down the line by Gill."
1690,"Hard length again and in the channel, Sundar pats it down into the off side."
1691,"Hard-length delivery on off, blocked off by Sundar."
1693,"Same line, and same length, Sundar gently pushes this to the right of Bashir who collects it."
1697,"Slides it onto the pads, on a length, Washington Sundar tucks this to the left of mid-wicket for a single."
1705,"Some turn away from off, on a fullish length. Washington Sundar sees the ball till the last moment and keeps it out on the front foot."
1711,"Nagging length, on top of off, Washington Sundar solidly blocks it off the back foot."
1713,"Keeps the stumps into attack, does Tongue, on a length, angling in. Washington Sundar gets right behind it and drops it on the surface."
1714,"Shortish delivery, on off, Washington Sundar gets on his toes to dab it onto the pitch with soft hands. Oh, dear! Another No Ball as Josh Tongue has overstepped."
1716,"Around the stumps to Sundar. It is a length ball, just outside off, Washington Sundar watches it closely and hangs his bat in the air to leave."
1720,"Confusion! Almost a run out chance, but Sundar gets back safe. Drags the length back, does Bashir, on the stumps, Sundar lets the ball arrive and tucks it to the square leg region. He sniffs a single and is through for it, but Gill sees Joe Root closing in to his left from mid-wicket, and quickly sends Sundar back on a sharp call."
1726,"Hard length on off, Sundar blocks it down the line."
1729,"Lovely delivery! Hard length around off, darted in towards the top of off and just holds its line. Washington Sundar hangs on the back foot and pushes at it but gets an outside edge that goes down towards second slip."
1730,"A length ball at the pads, clipped firmly down to deep backward square leg for a single."
1731,"Flighted up, a bit slower and drifted in from around middle. Sundar leans ahead to block."
1732,"Straighter now, on the stumps nd turned through square leg for a single."
1737,"On a hard length and outside off, seaming away slightly. Sundar leaves it alone."
1738,"Hard length around off, Sundar blocks it off."
1742,"Hard length over the stumps, pushed down in front of mid-wicket for a quick but easy single."
1745,"Nagging length around off, good energy put into the delivery. Gill leans on to defend."
1747,"Quicker one, bowled flatter and at the stumps, nudged away to mid-wicket."
1749,"Excellent running! Hard length around off, Jadeja hops back and just dabs it down wide of the keeper in front of the gully region and picks up an easy single."
1754,"On a hard length and angled down the leg side, Jadeja leaves it alone."
1760,"Bowled into the pitch and angled in towards the pads, Jadeja stays back and turns it away to backward square leg."
1761,"Holds it back a bit and flights it on a length around off, Jadeja waits back and keeps it out into the off side."
1763,"Hard length wide of the off stump, chopped down to wide deep third for a single by Gill."
1768,"Flighted ball on off, Gill gets right back into his disciplined mindset and blocks it off."
1771,Stays around the wicket to the right-hander as well and floats it up on the pads. Gill tucks it towards square leg.
1772,"More flighted this time and on the legs, nudged away in front of square leg for an easy single."
1774,Around the wicket now and angles in a shortish ball towards the hips. Jadeja just turns it through square leg for one.
1780,"Slows it up and flights it outside off, Gill gets a good stride forward and solidly blocks it off."
1782,"Nicely flighted, on a nagging length and around off, Gill lunges to defend."
1792,"Lands it around off and turns it in, on off, Gill watchfully defends it out. Also, this is the first maiden on Day 2."
1795,"Outside off, but with some grip and turn into the batter, Shubman Gill taps his front foot out but leaves it."
1797,"Very slow through the air, outside off, Shubman Gill strides ahead and blocks."
1820,"Drags the length, on off, Shubman Gill nudges it to the leg side."
1825,"Bangs it hard on the pitch, does Carse, on off, Ravindra Jadeja climbs over it and dabs it in the off side. Looks to pinch in a quick single but there's none and Gill sends him with a sharp 'No' call."
1826,"Bowls from a wider angle, slants in from off, on a fullish length. Ravindra Jadeja solidly blocks it off."
1827,"Starts from over the stumps, lands it on a length, on middle. Shubman Gill tucks it across into the mid-wicket region for a single."
1828,"A tempter from Woakes! Just outside off and curving in from the angle, Ravindra Jadeja shapes himself to play at it, but bails out of the shot at the last moment and leaves."
1829,"Keeps the line of attack on the stumps, tad around off. Ravindra Jadeja plays the ball late and stabs it out to the off side, just beside the pitch."
1830,"Around the stumps, length ball, angling on middle. Ravindra Jadeja gets right behind it and blocks it out onto the pitch."
1835,"Length, fairly outside off, Jadeja does not poke at that and leaves."
1840,"Same line, same length, Gill again blocks."
1844,"Goes down leg, on a length, Ravindra Jadeja gets inside the line and leaves."
1860,"Length ball on off and middle, blocked back into the deck."
1861,"Good-length delivery, darted in towards middle and leg. Jadeja is late to play at it and just about jams it out through the square leg region for yet another single."
1864,"Pitched up on the sixth stump line and leaving the batter pretty late, Jadeja gets a stride in and leaves it alone."
1865,"The three-quarter length and around off, Gill stays well forward and defends it out."
1871,"FOUR! Easy pickings! Loose from Woakes, serves a half volley on the pads and Ravindra Jadeja clips it away elegantly and through the gap at mid-wicket for a boundary."
1873,"Nagging length, in the channel outside off and going straight on. Jadeja strides across and makes a leave."
1880,"Good-length delivery, angling on middle, Ravindra Jadeja steers this to the square leg region and gets a quick single."
1881,"Nagging length, on off, Ravindra Jadeja blocks it off the back foot."
1884,"Comes from around the stumps, does Carse, on middle and on a length. Ravindra Jadeja is on the toes and taps it in the mid-wicket region for a quick single."
1885,"Banged halfway onto the pitch, on middle and leg, Shubman Gill gets across a bit and tucks this to deep mid-wicket for a single."
1893,"Hard length over the top of off, Gill defends down the line."
1895,"Pitches the ball up on the fifth stump line, gets it to nip away as well. Gill makes a watchful leave."
1900,"Pitched up around leg stump, Shubman Gill gets his hands out in front and chips it away into the gap at mid-wicket and picks up a couple of runs in the deep."
1903,"Around the wicket now to the left-hander, bowled on a length and in the channel outside off. Jadeja leaves it alone."
1904,"Good-length delivery on off, Jadeja watchfully keeps it out."
1918,"Looped right into the blockhole, on middle, Ravindra Jadeja carves it out and clips it to square leg for one."
1928,"Slides on the leg stump on a length, steered into the leg side."
1935,"Shortish delivery, outside off, Ravindra Jadeja gets on his toes and glides it away to the left of deep third for a single. Jadeja moves into the 30s now."
1937,"Nagging length, shoots off a bit, outside off, Jadeja stays back to leave."
1946,"Slightly outside off, on a fullish length. Shubman Gill closely watches it and decides to hang his bat in the air to leave."
1948,"The nip-backer on a length, cutting in sharply from off. Shubman Gill first looks to leave, but brings the bat down in time to block that off."
1954,"Around the wickets and it slides in on middle, Ravindra Jadeja leans forward and eases it back to the bowler."
1957,"A bit sloppy from the keeper there. Sprayed down the leg stump, Shubman Gill misses to play at it and the ball goes on the bounce to the left of the diving Jamie Smith behind. He fails to cleanly collect the ball and it deflects off his gloves to roll behind. The batters sneak in a bye."
1973,"Length ball, outside off, threatening to nip back in. Jadeja leans across and then decides to leave it alone at the last second."
1976,"A bit quicker and drifting it into the batter, Gill nudges it onto the leg side."
1977,"Flighted ball, on a fullish length and around off, Gill leans across and clips it towards mid-wicket."
1980,"A loud appeal for LBW, but the umpire remains unmoved. Probably sliding down leg. Ben Stokes has a chat with the bowler and the keeper, but in the end, the time runs out, and Stokes lets it be. This is tossed up on middle, and it slides on with the arm as well. Ravindra Jadeja leans on to block, but the ball beats the inside edge and hits the pads. Replays show that it would have been the umpire's call on wickets had Stokes reviewed."
1981,"Good-length delivery in the channel, Jadeja defends it to the left of gully and scampers through easily for a single."
2001,"Good-length delivery, on the fifth stump line, Jadeja hops across to the off side and then just leaves it alone."
2005,"Length ball outside off, looking to shape it back in but goes straight on. Gill leaves it alone."
2011,"Starts off with a loosener. Pitched up, well outside off, around the tramline and left alone."
2019,"Hard length on the pads, neatly worked away in front of square leg by Ravindra Jadeja for a single."
2022,"Wider on the crease and pitches it up around middle, Reddy solidly blocks it off."
2024,"Bowled into the deck and darted in on the pads, Gill tucks it to the left of square leg and picks up a single."
2025,"Quicker and flatter, outside off, Gill gets a stride across and leaves it alone."
2028,"On a slightly dragged length, drifted onto middle, Nitish Kumar Reddy watchfully nudges it to the leg side."
2040,"Slows it through the air, on middle, Pant blocks it out watchfully."
2044,"Gill shows his cards early by charging forward and seeing that, Woakes cramps the skipper by bowling it into the body, on a length. Shubman Gill taps it back to the bowler."
2052,"Drifts it on the leg stump, Rishabh Pant clears his front leg and nudges this into the mid-wicket region for a single."
2056,"Again, Gill walks ahead to negate any movement, and seeing this, Woakes hurls it wide of off and on a length, to which, Gill offers no shot."
2057,"Straight and around off, on a length, Shubman Gill walks forward and meets the ball under his eyes to block it out."
2060,"Flighted through the air, around off, Shubman Gill strides forward to keep it out."
2063,"Drags the length and the ball drifts onto the pads, Rishabh Pant tucks it through square leg for a single."
2066,"Length, on the stumps, Gill blocks back to the bowler. Chris Woakes begins the session with a maiden over."
2069,On the stumps and Shubman Gill confidently defends it out.
2070,"Nagging length, on off, Shubman Gill chops it off the inside edge, trying to work it square on the off side. The ball rolls into the leg side."
2074,"Pushed through flatter on middle, Rishabh Pant hops back and just manages to tap it around the corner to backward square leg."
2078,"Slightly pitched up and in the channel, Gill lunges and defends it into the off side."
2079,"Goes wider on the crease and bowls it on a hard length, angling it back onto the stumps. Gill pats it down the line."
2090,"Good-length delivery just around off, Shubman Gill solidly blocks it off."
2094,"Nagging length on middle, angling it across, Gill leans on to block but nearly gets a leading edge straight back to the bowler."
2100,"Gives it a bit more air and drifts it onto middle and leg, Pant leans on and blocks it off."
2102,Around the wicket to the right-hander as well and darts this one across off on a fullish length. Shubman Gill leaves it alone.
2105,On a length but spilled well down the leg side. Jamie Smith tumbles to his right and pouches it safely.
2109,"Drags the length back and bowls it around off, Gill stays solid in defense."
2111,"Nagging length around off, pushed through a bit quicker, Gill plays it back to the bowler."
2113,"Tosses it up and gets it to drift towards middle, Pant lunges to defend."
2115,"Length ball, flirting with the tramline outside off and left alone by Pant."
2120,"A bit quicker, tossed up around off, Shubman Gill defends it solidly off the front foot."
2121,"Flighted again, brings the line straighter on off as Gill defends down the line."
2132,A length ball on the fifth stump line and gently nibbling away. Gill shoulders arms.
2133,"Straighter on middle, Gill leans on and clips it away in front of square leg for a single."
2136,"Nicely flighted, on a nagging length around off, Gill watchfully defends."
2138,"Flatter on middle, angling in with the am. Jaiswal stays back and turns it to the leg side."
2139,"Pitched up wide outside off, angling in a bit, easy leave for Gill to make."
2140,"Length again and on the pads, tucked away around the corner on the leg side and for a single."
2141,"Hard length, on the pads and angling down leg, Jaiswal fails to tickle it away."
2146,"Bowled flatter and around off, Gill defends it down the line."
2148,"Straighter now, on middle, Shubman Gill leans right on and nudges it to the right of the bowler."
2149,"Flighted up on the fifth stump line, Gill strides across and makes the block."
2155,"Shapes into the batter, on a length, Shubman Gill nudges it away to deep mid-wicket for a single."
2157,"This one keeps sliding on with the arm, on the pads, Yashasvi Jaiswal casually tries to turn it into the leg side, but misses and is struck on his front thigh pad and the ball lobs to the off side, beside the pitch."
2175,"Length, outside off, cutting in a touch, Gill shoulders arms to leave."
2177,"Bowls from a wider angle and spears it on middle, defended well by Gill again."
2185,"Length ball, on off, Shubman Gill defends this right under his bat."
2191,"Follows it up with a well-directed bumper, does Brydon, over the top of off. Yashasvi Jaiswal leans back, and sways out of the line to leave."
2203,"Play and a miss! Carse angles this across off, on a length. Yashasvi Jaiswal tries to slash it through the off side, but misses. A muted appeal from the first slip fielder, but he is the only one interested."
2219,"On the pads, nudged away to mid-wicket by Gill."
2224,"Nagging length and outside off, stays a bit low as well, but Shubman Gill shoulders his arms."
2227,"Sliding on the pads, nudged it away towards square leg for one by Gill."
2231,"On a length and around middle, stays a bit low as well, Gill manages to tuck it across to mid-wicket."
2232,"BEATEN! Hard length and in that channel outside off, shaping away after pitching and after angling in from wide of the crease. Gill is drawn forward into his defence but gets beaten on the outside edge."
2235,"Nagging length and outside off, Jaiswal shoulders his arms."
2240,"Starts off with a hard-length delivery, outside off, shaping away touch, Yashasvi Jaiswal moves across a bit and shoulders his arms over it."
2241,"Flighted ball, well outside off, Shubman Gill leans across to block. That will be LUNCH ON DAY 1!"
2246,Around the wicket to begin with and flights it right up at the stumps. Jaiswal lunges and defends.
2251,"Shortish delivery on the hips, Jaiswal dabs it down through backward square leg and rotates the strike."
2253,"Hard-length delivery over middle, Jaiswal stays back and nudges it across to the fielder just in front of square leg."
2255,"Another bumper around off, Jaiswal ducks under it but Stokes takes a tumble on the follow-through."
2256,"Hard length over off, angling in a bit, Nair stays back and tucks it down to long leg for an easy single."
2268,Stokes bends his back and bangs in a proper bumper over middle stump. Nair ducks under it but a NO BALL is called for overstepping. Stokes just over-extending in order to get the bumper right.
2283,"Banged in halfway down the track and this is angled down leg, Nair ducks under it with ease."
2285,"A proper bumper now, bowled outside off and Jaiswal lets it through to the keeper."
2294,"Around the wicket to the left-hander, bowling it on hard length around off and gets it to straighten. Jaiswal comes forward and edges it down with soft hands towards third slip."
2297,"The in-between length now, hammered in around off, Jaiswal leaves it alone."
2304,"BEAUTY! Hard length and over off, seams away after pitching, Karun Nair is drawn forward into his defence but gets beaten on the outside edge."
2305,"Nagging length, on middle, Nair drops it down back to the right of the bowler."
2308,"This is lovely bowling from Josh! That in-between length and outside off, gets to shape away, Karun Nair looks to play out at first but seeing it is well outside off, decides to sway away from it in the end."
2310,"Oh, beaten! Hard length and around the fourth stump, threatens to come in but the ball moves away after pitching, Karun Nair presses back and looks to defend but gets beaten on the outside edge."
2315,"Nagging length and around off, Nair hangs back and defends it."
2317,"Better length from Woakes, just outside off, Karun Nair shoulders his arms over it to let it go."
2319,"Hard length, around off, Yashasvi Jaiswal opens his stance and uses his wrists to nudge it towards mid-wicket for a quick single."
2322,"Now, Tongue drags his length back and bowls it well outside off, Nair watches it carefully and decides to shoulder his arms."
2325,"Similar length and line, around middle, Nair blocks it off."
2330,"Hard length and around off, nips back in sharply, Karun Nair rises with the bounce but offers no shot as he shoulders his arms. The ball comes in and hits him high on the thigh pad. A stifled appeal and nothing more, seemed too high anyway."
2333,"Hard length and outside off, comes in with the angle slightly, Yashasvi Jaiswal shoulders his arms."
2334,"Nagging length and again well outside off, Yashasvi Jaiswal watches it carefully and decides to leave it again."
2341,"Another loud appeal for LBW, which is turned down by the umpire! Seaming in, on a hard length, around middle, KL Rahul goes back and looks to block but gets an inside edge onto his thigh pad."
2345,"Well left! Hard length and around off, threatens to shape in but holds its line in the end, KL Rahul looks to defend at first but withdraws his shot in the and lets it go to the keeper."
2346,"Hard length and around middle, KL Rahul goes back and plays out this towards square leg."
2355,"Leg bye! Hard length and around middle, follows the batter with this seam-in delivery, Jaiswal gets cramped up for room and tries to keep it out into the leg side but misses. The ball hits him on the thighpad and rolls away towards square leg. A leg bye taken."
2362,"Nicely bowled! Good-length delivery in the channel, Rahul takes a couple of steps out in front and looks to block but the ball whizzes past the outside edge."
2364,"The three-quarter length now, attacking middle and off, and doesn't bounce much either. Rahul is late on the shot and just jams it out into the off side."
2368,"Good-length delivery, around the sixth stump line and sliding through. Jaiswal makes another leave."
2369,"Length ball, around off, just angling in a shade, Jaiswal watches it all the way and leaves it alone."
2374,"Pitched up, in the channel and seaming away, Rahul makes another watchful leave."
2375,"Hits the hard length and gets the ball to nip away a bit from outside off, Rahul leaves it alone."
2383,"Much better from Carse! This is pitched up on the off stump, KL Rahul presses forward and defends it into the off side, looking for a single but is quickly sent back."
2387,"The in-between length now, bowled wide outside off, looking to bring the ball back in. Jaiswal leaves as the ball just swings back in late."
2388,"Drags the length back and brings the line towards middle and off, Jaiswal presses back and defends it down on the deck."
